UID        PID  PPID  C STIME TTY          TIME CMD
shashi    1933  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
shashi    1934  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
shashi    1947  1491  0 20:11 ?        00:00:02 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
shashi    1966  1491  0 20:11 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
shashi    1978  1491  0 20:11 ?        00:00:00 /usr/lib/dconf/dconf-service
root      1994     1  0 20:11 ?        00:00:00 /usr/lib/upower/upowerd
shashi    1997  1491  0 20:11 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
shashi    2023  1491  0 20:11 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
shashi    2055  1491  0 20:11 ?        00:01:02 compiz
shashi    2056  1880  0 20:11 ?        00:00:03 /usr/bin/gnome-software --gapplication-service
shashi    2057  1880  0 20:11 ?        00:00:02 nm-applet
shashi    2059  1880  0 20:11 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
shashi    2060  1880  0 20:11 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
shashi    2061  1880  0 20:11 ?        00:00:06 nautilus -n
shashi    2064  1880  0 20:11 ?        00:00:16 indicator-netspeed-unity
shashi    2091  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2109     1  0 20:11 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
shashi    2117  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
shashi    2122  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
shashi    2127  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
shashi    2133  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
colord    2134     1  0 20:11 ?        00:00:00 /usr/lib/colord/colord
shashi    2135  1872  0 20:11 ?        00:00:00 syndaemon -i 1.0 -t -K -R
root      2157     1  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
shashi    2176  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
shashi    2183  2023  0 20:11 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2023x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2023/2
shashi    2194  1491  0 20:11 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
